gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ALG2,2010.08912,-0.003775716,0.069025709,-0.054700137,0.95637736,0.984164911
CSF3R,2243.507878,0.354970128,0.223375231,1.589120366,0.112033221,0.346260427
KDSR,3414.350383,-0.063177205,0.074026615,-0.853439054,0.393415872,0.661373779
VPS4B,3372.06453,-0.017609029,0.076904758,-0.228971904,0.818890754,0.923949483
ONECUT2,160.1513955,0.189790316,0.281273479,0.674753686,0.49983227,0.743875702
C19orf25,1121.268503,0.072449585,0.087951115,0.823748343,0.410082564,0.6738203
ZBTB45,807.2307162,0.047787397,0.080136957,0.59632158,0.550960417,0.775964637
YLPM1,3823.865491,-0.004656805,0.093673792,-0.049712998,0.960351099,0.985474208
DCAF4,759.3860654,-0.075869725,0.084238747,-0.900651154,0.367773827,0.641529957
PROX2,14.08275966,0.512371736,0.157583485,3.251430414,0.001148259,0.023532855
VSX2,1.921685185,0.495150134,0.331810109,1.492269585,0.135628487,0.382875075
FCF1,2272.810471,-0.085960896,0.058713295,-1.464078902,0.143172391,0.393886036
PGF,863.0667367,-0.085403197,0.183036583,-0.466590863,0.640792626,0.828822684
IFI27L2,1041.230433,-0.152651493,0.133929227,-1.139792237,0.254372869,0.535196286
CCDC176,419.2783023,0.292059565,0.125958088,2.318704343,0.020411073,0.135847783
NEK9,3872.02065,-0.052445717,0.080950395,-0.647874752,0.517065962,0.755832918
ACYP1,261.5017217,0.158979945,0.12523792,1.269423396,0.204290096,0.479010725
IFT43,960.703226,-0.025123275,0.092306286,-0.272172956,0.785489035,0.90678315
NPC2,28486.79707,0.168971744,0.182857968,0.924060054,0.355455049,0.630813398
DPPA5P4,0.542048917,-0.098991012,0.462818791,-0.213887192,0.830635028,0.928306786
DNAL1,930.5467939,0.169550188,0.084425001,2.008293593,0.044612102,0.210156185
IRF2BPL,3561.778523,0.170257544,0.0951954,1.78850599,0.07369441,0.277094628
ACOT2,822.3714272,0.031401491,0.105907707,0.296498639,0.766849306,0.89673726
LTBP2,10318.90991,0.133232566,0.158864454,0.838655612,0.401662594,0.666999792
AREL1,2583.728634,-0.014443418,0.081121694,-0.178046302,0.858686613,0.940478063
MLH3,923.766449,0.023042189,0.076680062,0.300497795,0.763797478,0.894488989
TTLL5,1366.585193,0.000424595,0.07869861,0.005395202,0.995695273,0.99860475
FLVCR2,763.4395417,0.010790668,0.153908166,0.070111081,0.944105247,0.979146781
ABCD4,1598.984699,0.054257101,0.074099369,0.732220829,0.464033793,0.719236607
DLST,5531.084065,-0.118777956,0.075436195,-1.574548605,0.115360674,0.350871885
PPP4R4,90.0923247,-0.129701023,0.249484292,-0.519876509,0.603149649,0.807445842
TGFB3,1232.869983,-0.022062443,0.144736149,-0.152432154,0.878846098,0.949817761
ZC2HC1C,197.8789309,0.272493219,0.141486988,1.925924238,0.054113834,0.233562788
SLIRP,1369.239265,-0.16727058,0.09537629,-1.753796259,0.079465424,0.288907582
RBM25,4171.98752,-0.031042805,0.067703439,-0.458511492,0.646585008,0.83241887
ALDH6A1,2006.504365,-0.081409435,0.132896063,-0.612579732,0.540154263,0.769719825
GPR68,679.8034065,0.101192757,0.174867013,0.578684086,0.562802356,0.782313633
ESRRB,11.96640992,-0.039493877,0.254988982,-0.154884641,0.876912262,0.948781156
EIF2B2,1614.037849,-0.094668153,0.071605983,-1.322070435,0.186144698,0.456426617
NRDE2,825.9323974,0.184057096,0.080131008,2.296952221,0.021621495,0.139998608
COQ6,574.5665266,-0.06954211,0.083007879,-0.837777218,0.402155836,0.66733415
ZNF410,143.8956446,0.031904999,0.086580512,0.368500925,0.712499755,0.869691286
RHOQ,2863.129257,-0.120841651,0.084494319,-1.430174854,0.152666841,0.407647954
GPR75,56.62570132,0.051623267,0.162599683,0.317486883,0.750874191,0.887733033
SUPT7L,2358.495218,0.000452952,0.053771545,0.008423639,0.993278988,0.998265979
KLHL29,419.6892147,-0.186198506,0.173707822,-1.071906287,0.283762126,0.564377861
DNMT3A,2650.044332,0.18915001,0.107672946,1.756708793,0.078967458,0.28810701
TMEM214,6548.268337,-0.096717626,0.069769857,-1.386237991,0.165674244,0.427150405
ATAD2B,864.8374383,0.215446235,0.081852979,2.632112327,0.00848558,0.079844038
FKBP1B,220.5137552,-0.136591665,0.187375952,-0.728971162,0.466019303,0.720843969
ATL2,4894.118975,0.040563237,0.097072072,0.417867224,0.676044197,0.850391127
YPEL5,6627.127421,0.228649921,0.080054741,2.856169636,0.00428786,0.053864023
FAM98A,2244.990007,-0.117822515,0.064231125,-1.83435236,0.066601706,0.262000224
YIPF4,3645.335674,0.129428815,0.06628207,1.952697238,0.050855481,0.226024361
AFTPH,2464.592776,-0.020814864,0.068159379,-0.305385175,0.760072812,0.892302153
LGALSL,1356.773369,-0.052445223,0.14992037,-0.349820527,0.726473393,0.876380601
CNRIP1,348.2594709,0.11083212,0.118387822,0.936178382,0.349181352,0.625445863
BCL11A,1051.423496,-0.047146476,0.251842842,-0.187205941,0.851499167,0.936921325
CRIPT,1471.307027,-0.165318872,0.114731252,-1.440922757,0.149606506,0.402739466
EPCAM,22435.2206,-0.067351279,0.130128208,-0.517576318,0.604753909,0.808347596
SLC17A5,1691.152894,0.100662573,0.0936897,1.074425183,0.282632161,0.563833901
OGFRL1,2567.453193,0.148433494,0.115236562,1.288076379,0.197719377,0.470748131
FAM178A,1505.005624,-0.013749986,0.069545083,-0.197713277,0.843269402,0.933103675
IDE,2756.916647,-0.135545078,0.078660885,-1.723157305,0.084860082,0.299506172
TECTB,1.061478644,-0.460867226,0.505301414,-0.912063995,0.361735031,0.637000093
ELOVL3,55.90203782,-0.844761266,0.247898943,-3.407684023,0.000655167,0.0166438
IFIT3,2617.435979,0.089506726,0.152622873,0.586456828,0.557568565,0.779242973
NKX2.3,17.69492762,-1.674948943,0.367418697,-4.558692732,5.15E-06,0.000609654
IFIT2,1154.515103,0.13091615,0.150889163,0.867631231,0.385596244,0.655050338
GPAM,1035.614538,-0.236339583,0.122706922,-1.926049316,0.054098216,0.233562788
CUTC,744.8959431,-0.279519142,0.090418869,-3.091380642,0.001992281,0.033247208
PPP1R3C,498.701657,-0.352268009,0.19949988,-1.765755498,0.077436878,0.284997709
PYROXD2,482.7449503,0.118190144,0.172915676,0.683513184,0.494282622,0.740267266
CNNM1,217.1271011,-0.533562017,0.307745105,-1.733779055,0.082957293,0.295593091
MXI1,2265.527985,-0.026835762,0.092503013,-0.290106902,0.771734456,0.89956777
SMNDC1,1981.887984,-0.12421564,0.066242384,-1.875168635,0.060769528,0.248666003
C10orf88,527.2291554,-0.106086213,0.066131669,-1.604166567,0.108677342,0.340756562
HELLS,893.5843817,-0.124672839,0.144837337,-0.860778312,0.389360152,0.658012524
PRLHR,0.975397176,1.827200881,0.555484937,3.289379708,0.001004085,0.021597293
TCTN3,2921.423061,-0.12991905,0.071004001,-1.829742679,0.067288426,0.263309239
FAM45A,922.4218189,-0.199885899,0.072710976,-2.749047111,0.00597688,0.065476446
AVPI1,1517.706924,-0.644995776,0.17461284,-3.693862249,0.000220873,0.008155329
WDR11,2889.729834,-0.010036562,0.067090653,-0.149597022,0.881082558,0.950606048
C10orf76,1620.365896,-0.005866862,0.059164698,-0.099161538,0.921010013,0.969216883
KCNIP2,50.42509189,-0.051992593,0.137953582,-0.376884687,0.706259302,0.865518449
CFAP58,35.97354806,0.55242138,0.205927216,2.682605003,0.007305122,0.073146787
GOT1,3196.224631,-0.226083653,0.117263318,-1.927999788,0.053855153,0.233052902
CPN1,3.530868085,0.272055288,0.707927761,0.384298093,0.700757521,0.862354418
C10orf95,144.0024563,0.315365354,0.213653172,1.476062114,0.139927218,0.388652036
SFRP5,55.14256802,0.128177271,0.318017805,0.403050612,0.686910992,0.855402843
GNA13,5039.757764,-0.179984603,0.092969397,-1.93595538,0.052873166,0.230774479
HOXB8,93.33768578,0.716864999,0.340925402,2.102703394,0.035491705,0.18506824
KANSL1,3030.152023,0.075723203,0.068176169,1.110698999,0.266697933,0.546937818
HOXB5,244.2389684,0.480472221,0.196496934,2.445189403,0.014477609,0.111563831
CRHR1,9.890473076,-0.184136971,0.370449487,-0.49706364,0.619144174,0.816453856
HOXB3,841.9951776,0.363952539,0.193316631,1.882675785,0.059744319,0.24610126
HOXB1,4.662506792,0.476645307,0.444732307,1.071757773,0.283828844,0.564377861
DUSP1,14997.89113,0.169678732,0.189297556,0.896359866,0.370060595,0.642848119
PANK3,3262.43656,-0.068175071,0.08002215,-0.851952506,0.394240453,0.661479704
MSX2,148.1446073,-0.108187799,0.223927814,-0.483136939,0.628998507,0.821843322
TEK,437.566904,0.196327699,0.145470762,1.34960246,0.177143535,0.442983881
RCL1,677.6055387,-0.10898188,0.100383013,-1.085660581,0.277629187,0.55856567
CAAP1,1096.208778,-0.07386062,0.101210264,-0.72977401,0.465528333,0.720495316
EQTN,1.704901189,0.325433551,0.274588801,1.185166874,0.235951475,0.514926406
MOB3B,826.2835897,-0.1452416,0.123332012,-1.177647209,0.238937281,0.518682489
INSL6,1.40604703,1.29722067,0.442052213,2.934541736,0.003340406,0.046302879
INSL4,50.06901127,-2.036999792,0.586586821,-3.472631362,0.000515383,0.014286597
MLANA,13.85179675,0.10980886,0.151396005,0.725308835,0.468262587,0.723007844
CD274,1081.41019,-0.455785275,0.227547545,-2.003033147,0.045173731,0.211926144
IFNA6,0.123814123,0.421631105,2.902569715,0.145261319,0.884504554,NA
IFNA8,0.116519739,0.139898924,1.443614567,0.096908778,0.922798837,NA
GRIA2,7.976697593,1.01327463,0.324356939,3.123949295,0.001784412,0.030856273
NUP43,1756.902858,0.038741418,0.072824707,0.531981792,0.594738606,0.80219783
MTHFD1L,1927.734467,-0.177985179,0.093145616,-1.910827225,0.056026788,0.237948099
LRP11,3204.458165,-0.097132817,0.091960779,-1.056241783,0.290857766,0.57125505
CCDC170,294.9719686,0.705582686,0.216842049,3.253901582,0.001138317,0.023427659
PCMT1,3037.010678,0.00635524,0.075455334,0.08422519,0.93287739,0.974349783
PLEKHG1,1572.309657,0.24300173,0.122985712,1.975853332,0.048171391,0.219826413
MYCT1,313.7345786,0.152955084,0.115720451,1.321763629,0.186246873,0.456466084
CXorf21,175.781883,0.64769757,0.157422851,4.114380882,3.88E-05,0.002582018
MAGEB4,0.327296553,1.001805948,0.937588307,1.068492365,0.285298472,0.565389411
CYSTM1,3195.514125,-0.214720414,0.143461105,-1.496715179,0.134467385,0.380497223
WDR55,1779.577194,-0.137852036,0.064920299,-2.123404222,0.033719994,0.180208815
ARAP3,942.5489013,0.03374862,0.106679562,0.316355065,0.751733019,0.88805766
PCDHB8,122.1122171,-0.588455313,0.258401835,-2.277287676,0.022769052,0.144354367
PCDHB10,155.0534626,0.042712666,0.162969857,0.262089365,0.793252546,0.91022436
PCDHB14,359.7581788,0.076868367,0.153578882,0.500513915,0.61671326,0.814838817
PCDHB12,105.4118672,-0.096299589,0.152491261,-0.631508902,0.527707831,0.762284297
SLC25A2,2.051695638,0.334297617,0.261644036,1.277681015,0.201361922,0.475510287
TNN,33.38114156,0.44119723,0.203762898,2.165248108,0.03036869,0.168683976
MRPS14,1465.023862,0.047220761,0.072653019,0.649949052,0.515725132,0.755002613
CENPL,634.0866142,-0.018344862,0.121563404,-0.150907771,0.88004847,0.950052326
TNFSF18,58.71713846,0.30309094,0.216304511,1.401223387,0.161147283,0.420193998
SEC16B,10.54379045,-0.264367495,0.193576757,-1.36569854,0.172033603,0.435576473
GORAB,877.6982484,0.147079861,0.094943434,1.549131461,0.121350121,0.361080948
GPR31,4.125772599,0.476716943,0.277771867,1.716217512,0.086122239,0.300990543
ACAT2,1794.398329,-0.11763779,0.139288569,-0.844561691,0.398355605,0.664451533
TCP1,9271.250414,0.034691706,0.098758266,0.351279017,0.725379035,0.875689938
TTLL2,12.89974722,0.187538076,0.26602953,0.704952098,0.480840047,0.731965677
SNX19,4100.846359,-0.06499234,0.076208492,-0.852822809,0.393757573,0.661419012
KCNJ5,416.4604911,0.139935326,0.208410866,0.671439685,0.501940471,0.745431866
MSANTD2,428.8565443,0.091182459,0.108548072,0.840019156,0.400897646,0.66627545
TP53AIP1,25.94526467,0.1432415,0.329933175,0.434153066,0.664177292,0.843632682
TEX11,20.28219501,-0.112013048,0.220505969,-0.507981931,0.611466015,0.812404574
ARR3,10.98279935,0.049043808,0.145752314,0.336487335,0.7365034,0.880329353
PDZD11,2388.343376,-0.158380788,0.093835408,-1.687857394,0.091438607,0.311280364
SLC10A7,630.7671941,-0.0606854,0.080681445,-0.752160547,0.451954516,0.708423396
NUDCD1,1673.998183,-0.180912594,0.099644186,-1.815586047,0.069433896,0.267872438
ENY2,2908.616881,-0.081855369,0.076462992,-1.07052271,0.284384092,0.564743151
MASTL,955.3500811,-0.179273555,0.102711175,-1.745414309,0.080912777,0.291439385
KIAA1217,5273.089813,0.026693009,0.103061035,0.259001952,0.795633735,0.911658611
SEPT7P9,7.708622732,0.413961306,0.153272713,2.700815413,0.006916972,0.070487739
LYZL1,0.221194256,0.523521903,1.135274225,0.461141363,0.644697188,NA
PLXDC2,4265.84929,0.223594579,0.139675242,1.600817554,0.109417334,0.342269282
EPC1,1480.963142,0.16860491,0.062150138,2.712864595,0.006670436,0.069228272
IQSEC3,80.55916683,-0.126969347,0.192360125,-0.660060638,0.509214917,0.750756858
CCDC77,505.6540602,-0.305721277,0.108459714,-2.818754229,0.004821042,0.057797669
TAF12,1248.8536,-0.062814337,0.080413735,-0.78113941,0.434720505,0.694334677
ENOX1,110.5789229,-0.440845249,0.160265307,-2.750721641,0.005946415,0.06533892
TNFSF11,104.6777643,-0.101448786,0.263576192,-0.384893588,0.700316257,0.862015555
MTRF1,383.1959852,0.192645291,0.102034091,1.888048301,0.059019466,0.244586485
SPG20.AS1,5.871090887,0.386884995,0.173179593,2.234010297,0.025482396,0.153253716
SOHLH2,28.54330105,0.079647365,0.303169418,0.262715696,0.792769718,0.909997543
DNAJC15,1970.261425,-0.033955853,0.149107946,-0.227726649,0.819858753,0.924526965
PROSER1,2610.751338,0.084883616,0.093308605,0.909708343,0.362976343,0.637421181
UFM1,4265.191529,0.007300905,0.076247828,0.095752305,0.923717299,0.970493923
WBP4,705.5536224,0.027227415,0.068421096,0.397938886,0.690675235,0.857351048
ELF1,4021.863847,0.043338326,0.077498203,0.559217169,0.576013517,0.791762505
SMAD9,366.692545,0.274423392,0.170033439,1.613937783,0.106540922,0.337790096
HSPH1,6445.10978,-0.009094745,0.102505788,-0.088724207,0.929301094,0.972933363
KBTBD7,616.2310315,0.194154323,0.087013658,2.231308607,0.025660694,0.153761846
ALG5,2080.926014,0.091648085,0.116175798,0.788874156,0.430185562,0.690615405
EXOSC8,1065.887805,-0.073939347,0.097800822,-0.756019682,0.449637395,0.707175702
ETF1,6319.87981,-0.130487242,0.0575274,-2.268262451,0.023313215,0.146430111
TGFBI,19763.05143,-1.102640986,0.198682644,-5.549759979,2.86E-08,1.49E-05
FAM53C,2083.84283,-0.022120562,0.067227296,-0.329041373,0.742124417,0.882824585
SIL1,3529.192538,-0.06382342,0.106409079,-0.59979299,0.548644206,0.77444729
PAIP2,3079.00619,-0.015268248,0.065098532,-0.234540589,0.814565327,0.921405988
MYOT,18.70903196,0.177152589,0.219186803,0.808226529,0.418960189,0.681151069
KDM3B,4873.258709,0.027500427,0.075293383,0.365243603,0.714929572,0.870691651
EGR1,11252.29652,0.466720277,0.179576321,2.599007904,0.009349362,0.085308836
SERP1,14676.59258,0.102467123,0.101119175,1.013330297,0.310902421,0.59130275
PLS1,3199.508604,-0.231959206,0.158523772,-1.463245567,0.143400196,0.393960341
ZFP30,572.9193686,0.234287384,0.110758584,2.115297746,0.034404578,0.182053818
NR2C1,915.2379656,0.073319204,0.073411153,0.99874748,0.317917034,0.597199454
UTP20,1848.418768,0.13604181,0.108257036,1.256655594,0.208878374,0.484487556
TMPO,6770.512411,-0.015074527,0.109359429,-0.137843868,0.890363814,0.955027107
ARL1,5532.294543,-0.053376444,0.08118894,-0.657434916,0.510901307,0.751796027
GLT8D2,494.15652,-0.232866067,0.168679976,-1.380519922,0.16742662,0.429585502
MTERF2,399.9181143,0.040379057,0.091580521,0.440913164,0.659275863,0.840226163
SOCS2,1223.452104,-0.09617517,0.195111208,-0.492924884,0.622065664,0.817705225
NFYB,1550.227165,0.002140836,0.065030852,0.032920313,0.973738134,0.990637375
CCDC53,873.3105069,0.015069737,0.074508812,0.202254424,0.839717828,0.932281526
APAF1,1050.795021,0.041015081,0.092527139,0.443276226,0.65756595,0.839152237
DUSP4,4216.071107,-0.333804576,0.263904774,-1.264867516,0.205918824,0.480619297
CLU,15680.63356,0.066397766,0.2146456,0.309336723,0.757065399,0.890908486
TNFRSF10B,4342.637045,-0.164843351,0.115251298,-1.430294961,0.15263238,0.40761561
SORBS3,3660.971178,-0.016020484,0.09311418,-0.172052032,0.863396623,0.942507296
PTK2B,2534.29857,0.143990302,0.112915372,1.275205485,0.20223652,0.476588389
CHRNA2,2.343063499,-0.239075897,0.337592922,-0.708178049,0.478834696,0.731180032
ADRA1A,7.936096259,0.499637958,0.308357637,1.620319714,0.105163616,0.335640895
PPP3CC,689.6087906,0.068094575,0.073297988,0.929010144,0.352883829,0.628744132
PDLIM2,1056.953091,0.051126713,0.117298765,0.435867442,0.662932908,0.843010978
EPHX2,673.7762906,-0.012476971,0.15611462,-0.07992186,0.936299404,0.976165529
RNF170,1466.644463,0.078061879,0.089809594,0.869193098,0.384741522,0.654260907
NPPB,1.139674127,-0.233108489,0.437751446,-0.53251335,0.594370498,0.802169285
UBIAD1,1286.84657,-0.057515284,0.061160555,-0.940398337,0.347013275,0.623045785
TARDBP,4873.432731,-0.035641861,0.050651166,-0.703673076,0.481636391,0.732636792
TNFRSF8,90.15045624,-0.393446457,0.175548709,-2.241238109,0.025010656,0.152014114
PRAMEF2,0.283394371,0.86724648,1.07940355,0.80344972,0.421714847,NA
ZNF706,3952.961641,-0.058107117,0.096078965,-0.604785004,0.545321859,0.772003063
LYPLA1,7213.829702,-0.108418136,0.129113781,-0.839710019,0.401070995,0.666442102
CRISPLD1,841.4338974,-0.082362524,0.2228886,-0.369523268,0.711737733,0.869186467
COPS5,3091.744361,-0.113606667,0.083408379,-1.362053407,0.173181031,0.437024518
RDH10,5385.12646,-0.278375205,0.180654481,-1.540926098,0.123334773,0.364650583
EPX,13.44791209,0.771781938,0.17727899,4.353487898,1.34E-05,0.001169354
AKAP1,4783.959064,0.067328046,0.094442303,0.712901357,0.4759068,0.728544123
COIL,1451.032752,-0.022296564,0.063588875,-0.350636234,0.72586127,0.875989782
TRIM25,2607.842199,0.052622795,0.099221319,0.530357743,0.595863918,0.802996518
SCPEP1,9656.960295,-0.09558641,0.137081246,-0.697297499,0.485616633,0.735135479
SPOP,3548.58424,-0.079441653,0.055963681,-1.419521568,0.155747013,0.411475308
TBX2,1110.739264,-0.125414003,0.142826666,-0.878085355,0.3798974,0.6501404
SLC35B1,3630.151376,-0.168631022,0.065701783,-2.566612574,0.010269728,0.090349829
TBX4,413.7252649,0.23531678,0.18609206,1.264518106,0.206044126,0.480655437
NACA3P,91.68876357,-0.174233169,0.17587541,-0.990662472,0.321850422,0.600891186
TEX14,41.25643127,0.176092949,0.132966294,1.324342764,0.185389234,0.45548217
FAM117A,1095.269683,0.276205267,0.108621278,2.542828367,0.010995923,0.093985768
NCAPH,1009.802703,-0.212892604,0.163189089,-1.304576216,0.192037192,0.463389122
LRAT,227.9118889,0.110648673,0.232196356,0.476530619,0.633696399,0.824999819
KIAA0922,1159.895765,-0.166313073,0.117235336,-1.418625807,0.156008138,0.411926525
MND1,208.4203326,-0.337370881,0.14466148,-2.332140394,0.019693307,0.133533797
TRIM6,366.5803925,-0.843392268,0.178444111,-4.726366483,2.29E-06,0.000325716
ABCC11,23.92459777,0.032770376,0.191912245,0.170757086,0.864414774,0.942827526
PAPD5,951.3380166,-0.066727096,0.079444406,-0.839921894,0.400952181,0.666305373
ADCY7,935.2035422,-0.157584284,0.135452032,-1.163395498,0.244669075,0.524552202
CEP89,1515.021592,0.176026288,0.086239066,2.041143258,0.04123659,0.201380294
TSHZ3,415.3301619,-0.065368928,0.146390072,-0.446539352,0.655207693,0.838003924
ECHDC2,2100.529087,0.022024433,0.119564592,0.184205311,0.853852393,0.937967615
TAS2R8,0.228197135,-0.128817964,0.618046779,-0.208427531,0.834895161,NA
PLBD1,2828.154148,-0.121986739,0.183894412,-0.663352068,0.507105097,0.749342228
TAS2R10,2.687646129,0.417782856,0.225721187,1.850880115,0.064186802,0.256297564
PRB2,1.66862128,0.179895501,0.418838011,0.429510924,0.667551446,0.845988257
PYROXD1,810.0636693,-0.159164795,0.103140533,-1.543183758,0.122786197,0.363633745
IAPP,2.482445248,0.617625731,0.496097227,1.244969124,0.2131431,0.489207266
KCNJ8,694.8398101,0.46279631,0.176709612,2.618965113,0.008819697,0.082017777
TAS2R7,0.033880587,0.09155963,2.744027424,0.033366878,0.973382022,NA
BCL2L14,174.91273,-0.254962898,0.220365359,-1.157000809,0.24727203,0.527250122
TAS2R9,0.154652068,0.342214008,1.352385567,0.253044706,0.800233667,NA
RP11.408E5.4,3.039962213,-2.490724781,1.107963353,-2.248020906,0.024574857,0.150670719
PSPC1,1636.79241,0.04514411,0.074248234,0.608015932,0.543176907,0.770895637
ZNF549,349.2377623,0.24351377,0.144628184,1.683722799,0.092235253,0.312650254
A1BG,19.98974224,0.039198956,0.172122066,0.227739281,0.819848933,0.924526965
ZSCAN18,981.0512263,0.232451074,0.150452783,1.545010136,0.122343812,0.362853842
ZNF211,471.7840047,0.373885231,0.111512786,3.352846301,0.000799851,0.018800624
PDZRN3,486.4863203,0.178316467,0.153281664,1.163325491,0.244697467,0.524552202
RGSL1,2.601108703,0.24543526,0.470354412,0.521809202,0.601803182,0.806504947
LHX4,61.72712436,0.0930494,0.153283556,0.607040978,0.543823718,0.771038076
RNF2,1670.734825,0.096513993,0.087217407,1.106590943,0.268470825,0.548856754
TRMT1L,1483.21418,0.026323588,0.07640747,0.344515896,0.730458344,0.878028678
SEC22A,997.8192545,-0.078659001,0.087881675,-0.895055771,0.370757275,0.643261933
CSTA,2661.150594,-0.91173848,0.318996225,-2.858148177,0.004261214,0.0536565
DPPA4,5.066598372,-0.10164854,0.240592404,-0.422492722,0.672665412,0.848800907
POPDC2,81.52279163,-0.013974736,0.108824392,-0.128415475,0.897820185,0.958123109
B4GALT4,2637.93675,-0.268002362,0.153805117,-1.742480138,0.081424464,0.292511137
NAA50,8680.991846,-0.237425436,0.099923512,-2.376071778,0.017498059,0.124819941
CD80,103.1130671,0.269756625,0.159910445,1.686923104,0.091618139,0.311467576
KIF18A,501.5530943,-0.384902569,0.140493355,-2.73964963,0.006150471,0.066460067
GJA8,0.262554916,0.240739367,0.823789761,0.292233988,0.770107727,NA
DESI2,4447.521424,-0.029403429,0.078780803,-0.373230885,0.708976611,0.867319476
MAPK8IP1,599.9421407,0.27152931,0.14945917,1.816745741,0.069256054,0.267612171
CRY2,2110.400735,0.195445519,0.114632547,1.704974068,0.088199261,0.304746073
PEX16,1274.998904,0.014747654,0.07926088,0.186064726,0.852394003,0.937566581
DEPDC7,153.9205698,0.125467217,0.197855663,0.634135079,0.525992671,0.761140932
CAT,4870.157237,0.06274053,0.110037686,0.570173117,0.568560288,0.786421449
PILRB,256.8210857,0.029431004,0.183113303,0.160725648,0.872309488,0.946658652
ZMYM2,3588.927489,0.046946528,0.087824253,0.534550836,0.592960488,0.80178128
GJB6,1298.368131,0.1721378,0.403881669,0.426208499,0.669955925,0.847316327
GJA3,90.03265834,-0.450547415,0.343687165,-1.310923017,0.189883774,0.460484538
TBC1D15,2690.872608,-0.083029085,0.087402514,-0.949962212,0.342131454,0.618910812
BAI2,384.8061101,0.01631292,0.180455229,0.090398711,0.927970381,0.972433629
HCRTR1,4.279493809,0.311257694,0.206399718,1.508033525,0.131545947,0.376258127
ZCCHC17,2081.344172,0.072926705,0.084063641,0.867517799,0.385658364,0.655094855
FABP3,834.9055185,-0.041583943,0.231179656,-0.179877174,0.857248995,0.939620316
KHDRBS1,8993.199908,-0.068924169,0.048508081,-1.420880157,0.155351602,0.410966386
TMEM39B,858.9052994,-0.063521949,0.070640437,-0.899229274,0.36853055,0.641904818
CCRL2,360.8731655,0.275398484,0.160818132,1.712484043,0.086807503,0.302342725
CCR2,347.1750077,0.53033204,0.175189409,3.027192352,0.002468368,0.038284896
POLR3GL,1296.029009,0.095810086,0.089536961,1.070061845,0.284591472,0.564842644
GHSR,0.69503847,0.861341078,0.533428427,1.614726616,0.106369911,0.337740024
TNFSF10,10431.68375,0.421192856,0.192241075,2.190961827,0.028454555,0.161635342
ZNF639,2395.635255,0.111906501,0.134407587,0.832590657,0.40507563,0.669308871
SLITRK3,16.94070734,-0.727603031,0.334479513,-2.17532914,0.02960546,0.16598993
PIK3CA,2060.487522,0.049497133,0.128275374,0.385866218,0.699595751,0.861447816
PDS5A,7461.748163,0.009796797,0.073154424,0.133919401,0.893466308,0.956227039
TMEM156,355.0269112,-0.362694173,0.246054858,-1.474037848,0.140471401,0.38951024
LIAS,456.0885991,-0.080955656,0.09859921,-0.821057862,0.41161331,0.675138838
CPXM2,1924.528615,-0.183712656,0.246826345,-0.744299219,0.456695474,0.71252171
TMEM54,3793.836076,-0.151088359,0.115060031,-1.313126356,0.189140374,0.459979091
ZSCAN20,156.7912747,-0.020992165,0.096719118,-0.217042564,0.828175175,0.927275766
CSMD2,169.5875117,-0.408470013,0.213616129,-1.912168408,0.055854597,0.237701318
HPCA,29.64665996,0.429340421,0.188342891,2.279567971,0.022633324,0.143883164
LRIF1,1078.03271,-0.076438201,0.093456262,-0.817903465,0.413412312,0.676819378
ADORA3,442.5697724,0.381935892,0.171051161,2.232875173,0.025557177,0.153468377
CLCC1,1061.885378,0.03283566,0.067847524,0.483962534,0.628412459,0.821725087
GPSM2,1130.5277,-0.096551738,0.102161396,-0.945090236,0.34461281,0.620598957
GTDC1,958.1491817,0.095944917,0.073094509,1.312614556,0.189312862,0.459986678
CXCR4,4492.431677,0.417878045,0.142320268,2.936180854,0.003322805,0.046224106
ZRANB3,280.5968368,-0.138624678,0.107010595,-1.295429465,0.195172119,0.467447349
ACVR2A,753.8656637,0.399064178,0.094858166,4.206956487,2.59E-05,0.001934882
POLK,1079.47144,0.089491509,0.078713878,1.136921617,0.255571055,0.536434526
SV2C,17.22206815,1.048690139,0.231500516,4.529968901,5.90E-06,0.000668336
FLT3,52.10975512,0.461950437,0.182971265,2.524715763,0.01157919,0.096999654
RPL21,11082.37224,0.082798754,0.110561392,0.74889392,0.453921145,0.710269065
MTIF3,1287.419774,0.014063025,0.076816874,0.183072079,0.854741463,0.938387748
GTF3A,5606.575872,0.016872368,0.102059907,0.165318276,0.868693474,0.944775836
RASL11A,773.9157789,-0.14047733,0.219275203,-0.640643942,0.521754043,0.758672971
UBL3,3476.086169,0.098811291,0.11016069,0.89697415,0.369732711,0.642533969
LINC00544,1.660212826,0.634304449,0.309852842,2.047115155,0.040646779,0.19994759
FYTTD1,4879.638428,-0.084940206,0.107687445,-0.788766101,0.430248726,0.690615405
MTERF4,1224.623086,0.046510905,0.065166847,0.713720354,0.475400118,0.728006693
XPNPEP2,50.71488708,0.185005713,0.221830246,0.833996789,0.404282793,0.668879652
SASH3,1236.804884,0.328235561,0.144765047,2.267367496,0.023367785,0.146662325
OCRL,2705.613379,-0.14671555,0.075419271,-1.945332388,0.051734986,0.228264672
PAEP,1161.403411,-0.672005519,0.438572599,-1.532256051,0.125459262,0.367492682
OBP2A,11.62948086,-0.57976274,0.384115642,-1.50934426,0.13121083,0.375857946
